planner_name,condition,scenario_group,metric,sample_count,value,standard_deviation,ci_low,ci_high
no_memory,clean,family_education,memory_retrieval_recall,24,0.0,0.0,0.0,0.13798057582897535
no_memory,clean,family_education,preference_match_rate,24,0.5,0.5,0.31427131627763083,0.6857286837223692
no_memory,clean,family_education,task_coverage_rate,24,0.5,0.5,0.31427131627763083,0.6857286837223692
no_memory,clean,family_education,executable_plan_rate,24,1.0,0.0,0.8620194241710247,1.0
no_memory,clean,family_education,skill_chain_accuracy,24,1.0,0.0,0.8620194241710247,1.0
no_memory,clean,family_education,conflict_selection_accuracy,24,1.0,0.0,0.8620194241710247,1.0
no_memory,clean,family_education,api_success_rate,24,1.0,0.0,0.8620194241710247,1.0
no_memory,clean,family_education,latency_ms_mean,24,0.024381875000001097,0.002493896320894441,0.0,0.0
no_memory,clean,family_education,latency_ms_p50,24,0.023833500000000618,0.002493896320894441,0.0,0.0
no_memory,clean,family_education,latency_ms_p95,24,0.029135600000002034,0.002493896320894441,0.0,0.0
no_memory,clean,home_service,memory_retrieval_precision,24,0.0,0.0,0.0,0.13798057582897535
no_memory,clean,home_service,memory_retrieval_recall,24,0.0,0.0,0.0,0.13798057582897535
no_memory,clean,home_service,preference_match_rate,24,0.5,0.5,0.31427131627763083,0.6857286837223692
no_memory,clean,home_service,task_coverage_rate,24,0.5,0.5,0.31427131627763083,0.6857286837223692
no_memory,clean,home_service,executable_plan_rate,24,1.0,0.0,0.8620194241710247,1.0
no_memory,clean,home_service,skill_chain_accuracy,24,0.75,0.4330127018922193,0.5510017468789357,0.8800079652065766
no_memory,clean,home_service,conflict_selection_accuracy,24,1.0,0.0,0.8620194241710247,1.0
no_memory,clean,home_service,api_success_rate,24,1.0,0.0,0.8620194241710247,1.0
no_memory,clean,home_service,latency_ms_mean,24,0.02396529166666615,0.0012153661478174593,0.0,0.0
no_memory,clean,home_service,latency_ms_p50,24,0.023916499999998564,0.0012153661478174593,0.0,0.0
no_memory,clean,home_service,latency_ms_p95,24,0.025543849999998258,0.0012153661478174593,0.0,0.0
no_memory,clean,learning,memory_retrieval_precision,24,0.0,0.0,0.0,0.13798057582897535
no_memory,clean,learning,memory_retrieval_recall,24,0.0,0.0,0.0,0.13798057582897535
no_memory,clean,learning,preference_match_rate,24,0.5,0.5,0.31427131627763083,0.6857286837223692
no_memory,clean,learning,task_coverage_rate,24,0.5,0.5,0.31427131627763083,0.6857286837223692
no_memory,clean,learning,executable_plan_rate,24,1.0,0.0,0.8620194241710247,1.0
no_memory,clean,learning,skill_chain_accuracy,24,1.0,0.0,0.8620194241710247,1.0
no_memory,clean,learning,conflict_selection_accuracy,24,1.0,0.0,0.8620194241710247,1.0
no_memory,clean,learning,api_success_rate,24,1.0,0.0,0.8620194241710247,1.0
no_memory,clean,learning,latency_ms_mean,24,0.02414937500000031,0.0035800001956743694,0.0,0.0
